CELLID,LAT,LON,MONTH,DAY,AEZID,PHIHOXsd2,CRFVOLsd2,SNDPPTsd2,CLYPPTsd2,SLTPPTsd2,CECsd2,NTOxd1,EACKCLsd2,DRAINFAO,BLDsd2,ORCDRCsd2,Country
4535,7.625,2.625,2,25,9,63.41349623,16.83150213,69.37118727,13.90431289,16.71958019,9.757953427,0.931874876,0.108717995,3.920875697,1368.41,12.91587406,Benin
4536,7.625,2.875,2,25,9,62.28059971,17.2601999,69.978699,13.64279862,16.37022776,8.288300836,0.898246926,0.175923517,4.334589546,1361.1,12.03916107,Nigeria
4537,7.625,4.125,2,25,9,59.19532595,15.79712997,62.64050841,21.34079541,16.02222222,9.166051661,1.315695859,0.909490856,4.852808528,1425.04,14.66789668,Nigeria
4538,7.625,4.375,2,25,9,58.81299148,15.18356815,61.25475098,22.74385649,15.99787025,8.580602883,1.241171772,0.820481562,4.795625819,1371.8,14.01957733,Nigeria
4539,7.625,4.625,2,25,9,56.45616191,13.9236316,53.8119469,27.38479187,18.80842347,8.002212389,1.473449033,0.619144658,4.930678466,1341.19,15.00983284,Nigeria
4540,7.625,4.875,2,21,9,57.60888452,14.79673797,53.61076961,26.28694369,20.09868044,10.66273256,1.701375706,0.982274452,4.96852717,1298.35,18.86648635,Nigeria
4541,7.625,5.125,2,20,9,57.09387287,15.18086501,55.73451835,25.32740826,18.93422346,10.92947248,1.624214448,1.209765399,4.946592398,1314.97,17.28989187,Nigeria
4542,7.625,5.375,2,19,9,55.28655786,15.83999016,56.09685885,24.37095055,19.54063807,9.02419421,1.5620342,0.997270712,4.82293119,1374.47,18.18387599,Nigeria
4543,7.625,5.625,2,22,9,55.24776217,16.59333169,57.15907038,24.64474008,18.19257617,9.021598095,1.669234705,1.125264753,4.968629383,1312.77,18.5751006,Nigeria
4544,7.625,5.875,2,23,9,57.88617553,13.70818651,56.84184217,24.64574285,18.50872736,8.790707203,1.281127426,1.733324654,4.868393018,1257.76,14.52577235,Nigeria
4545,7.625,6.125,3,10,9,59.22822257,13.45529788,59.44407113,23.17225272,17.38646235,8.053101696,1.05635147,0.758137462,4.790297468,1252.3,11.75251987,Nigeria
4546,7.625,6.375,3,16,9,60.27545305,11.6562603,61.35593081,21.36532125,17.27413509,7.734925865,1.024241927,0.433665128,4.489785832,1268.76,10.53459638,Nigeria
4547,7.625,6.625,3,17,9,60.30656872,12.09626719,60.44819339,20.81634919,18.73101563,9.170752541,1.188152642,0.437056644,4.398821218,1250.18,11.58264286,Nigeria
4548,7.625,6.875,3,18,9,58.53426817,12.62205443,57.35529373,23.44216728,19.20262197,10.58903087,1.618404911,0.527919613,4.737305012,1283.35,14.06090275,Nigeria
4549,7.625,7.125,3,18,9,58.04548062,11.44718512,59.2065066,22.23895763,18.55953454,9.494386626,1.443653362,0.499519864,4.76038679,1310.27,10.59214947,Nigeria
4550,7.625,7.375,3,21,9,57.59636185,10.46197968,55.47402491,25.42682727,19.10406424,9.869878728,1.450057767,0.56432618,4.628810226,1290.47,13.1413471,Nigeria
4551,7.625,7.625,3,21,9,59.40881895,7.506433899,56.43799689,24.46512581,19.09704123,9.624620933,1.278823292,0.301260245,4.72682567,1287.26,11.7981313,Nigeria
4552,7.625,7.875,3,21,9,59.43243465,5.976153405,59.0684258,20.17618618,20.76112431,9.602474801,1.013811029,0.103957404,4.103335245,1288.32,8.61951979,Nigeria
