LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4
1046,ZIMBABWE,CIMMYT HARARE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1048,ZIMBABWE,DRSS HARARE,Eastern and Southern Africa,-17.8,31.1,1513,lat-17.875_long31.125.txt,,,
1049,ZIMBABWE,GLENDALE,Eastern and Southern Africa,-17.08,31.03,1284,lat-17.125_long31.125.txt,,,
1050,ZIMBABWE,GWEBI,Eastern and Southern Africa,-17.7,30.85,1441,lat-17.625_long30.875.txt,,,
1051,ZIMBABWE,HARARE,Eastern and Southern Africa,-17.8,31.05,1498,lat-17.875_long31.125.txt,,,
1052,ZIMBABWE,KADOMA,Eastern and Southern Africa,-18.32,30.9,1325,lat-18.375_long30.875.txt,,,
1054,ZIMBABWE,MAKAHOLI,Eastern and Southern Africa,-19.83,30.78,1207,lat-19.875_long30.875.txt,,,
1055,ZIMBABWE,MAKHOHOLI,Eastern and Southern Africa,-19.83,30.78,1207,lat-19.875_long30.875.txt,,,
1056,ZIMBABWE,MARONDERA,Eastern and Southern Africa,-18.8,31.6,1084,lat-18.875_long31.625.txt,,,
1057,ZIMBABWE,MATOPOS,Eastern and Southern Africa,-20.38,28.5,1380,lat-20.375_long28.375.txt,lat-20.375_long28.625.txt,,
1058,ZIMBABWE,MAZOWE,Eastern and Southern Africa,-17.51,30.91,1370,lat-17.625_long30.875.txt,,,
1060,ZIMBABWE,PANNAR,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1061,ZIMBABWE,PIONEER,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1063,ZIMBABWE,RATTRAY,Eastern and Southern Africa,-17.7,31.2,1403,lat-17.625_long31.125.txt,,,
1064,ZIMBABWE,RATTRAY ARNOLD,Eastern and Southern Africa,-17.67,31.17,1458,lat-17.625_long31.125.txt,,,
1065,ZIMBABWE,RATTRAY FARM,Eastern and Southern Africa,-17.7,31.2,1403,lat-17.625_long31.125.txt,,,
1066,ZIMBABWE,RUWA,Eastern and Southern Africa,-17.89,31.24,1554,lat-17.875_long31.125.txt,,,
1067,ZIMBABWE,SAVE VALLEY,Eastern and Southern Africa,-20.35,32.33,443,lat-20.375_long32.375.txt,,,
1068,ZIMBABWE,SHAMVA ZIM,Eastern and Southern Africa,-17.32,31.57,1106,lat-17.375_long31.625.txt,,,
1069,ZIMBABWE,ZIMBABWE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
