FID,LAT,LON
426,14.375,-16.625
427,14.375,-16.375
428,14.375,-16.125
429,14.375,-15.875
430,14.375,-15.625
431,14.375,-15.375
432,14.375,-15.125
433,14.375,-14.875
434,14.375,-14.625
435,14.375,-14.375
436,14.375,-14.125
437,14.375,-13.875
438,14.375,-13.625
439,14.375,-12.875
440,14.375,-12.375
441,14.375,-12.125
442,14.375,-11.875
443,14.375,-11.625
444,14.375,-11.375
445,14.375,-11.125
446,14.375,-10.875
447,14.375,-10.625
448,14.375,-10.375
449,14.375,-10.125
450,14.375,-9.875
451,14.375,-9.625
452,14.375,-9.375
453,14.375,-9.125
454,14.375,-8.875
455,14.375,-8.625
456,14.375,-8.375
457,14.375,-8.125
458,14.375,-7.875
459,14.375,-7.625
460,14.375,-7.375
461,14.375,-7.125
462,14.375,-6.875
463,14.375,-6.625
464,14.375,-6.375
465,14.375,-6.125
466,14.375,-5.875
467,14.375,-5.625
468,14.375,-5.375
469,14.375,-5.125
470,14.375,-4.875
471,14.375,-4.625
472,14.375,-4.375
473,14.375,-4.125
474,14.375,-3.875
475,14.375,-3.625
476,14.375,-3.375
477,14.375,-3.125
478,14.375,-2.875
479,14.375,-2.625
480,14.375,-2.375
481,14.375,-1.875
482,14.375,-1.625
483,14.375,-1.375
484,14.375,-1.125
485,14.375,-0.875
486,14.375,-0.625
487,14.375,-0.375
488,14.375,-0.125
489,14.375,0.125
490,14.375,0.375
491,14.375,0.625
492,14.375,0.875
493,14.375,1.125
494,14.375,1.875
495,14.375,2.125
496,14.375,2.625
497,14.375,2.875
498,14.375,3.375
499,14.375,3.625
500,14.375,3.875
501,14.375,9.125
502,14.375,21.625
503,14.375,21.875
504,14.375,36.625
505,14.375,37.125
506,14.375,37.375
507,14.375,37.625
508,14.375,37.875
509,14.375,38.125
510,14.375,38.375
511,14.375,38.625
512,14.375,38.875
513,14.375,39.125
514,14.375,39.375
515,14.375,39.625
516,14.125,-16.875
517,14.125,-16.625
518,14.125,-16.375
519,14.125,-16.125
520,14.125,-15.875
521,14.125,-15.625
522,14.125,-15.375
523,14.125,-15.125
524,14.125,-14.875
525,14.125,-14.625
526,14.125,-14.375
527,14.125,-14.125
528,14.125,-13.875
529,14.125,-13.625
530,14.125,-13.375
531,14.125,-13.125
532,14.125,-12.875
533,14.125,-12.625
534,14.125,-12.375
535,14.125,-11.875
536,14.125,-11.625
537,14.125,-11.375
538,14.125,-11.125
539,14.125,-10.875
540,14.125,-10.625
541,14.125,-10.375
542,14.125,-10.125
543,14.125,-9.875
544,14.125,-9.625
545,14.125,-9.375
546,14.125,-9.125
547,14.125,-8.875
548,14.125,-8.625
549,14.125,-8.375
550,14.125,-8.125
551,14.125,-7.875
552,14.125,-7.625
553,14.125,-7.375
554,14.125,-7.125
555,14.125,-6.875
556,14.125,-6.625
557,14.125,-6.375
558,14.125,-6.125
559,14.125,-5.875
560,14.125,-5.625
561,14.125,-5.375
562,14.125,-5.125
563,14.125,-4.875
564,14.125,-4.625
565,14.125,-4.375
566,14.125,-4.125
567,14.125,-3.875
568,14.125,-3.625
569,14.125,-3.375
570,14.125,-3.125
571,14.125,-2.875
572,14.125,-2.625
573,14.125,-2.375
574,14.125,-2.125
575,14.125,-1.875
576,14.125,-1.625
577,14.125,-1.375
578,14.125,-1.125
579,14.125,-0.875
580,14.125,-0.625
581,14.125,-0.375
582,14.125,-0.125
583,14.125,0.125
584,14.125,0.375
585,14.125,0.625
586,14.125,0.875
587,14.125,1.125
588,14.125,1.875
589,14.125,2.125
590,14.125,2.375
591,14.125,2.625
592,14.125,2.875
593,14.125,3.375
594,14.125,20.625
595,14.125,20.875
596,14.125,21.125
597,14.125,21.375
598,14.125,21.875
599,14.125,22.125
600,14.125,22.375
601,14.125,22.625
602,14.125,36.625
603,14.125,36.875
604,14.125,37.125
605,14.125,37.375
606,14.125,37.625
607,14.125,37.875
608,14.125,38.125
609,14.125,38.375
610,14.125,38.625
611,14.125,38.875
612,14.125,39.125
613,14.125,39.375
614,14.125,39.625
615,13.875,-16.375
616,13.875,-16.125
617,13.875,-15.875
618,13.875,-15.625
619,13.875,-15.375
620,13.875,-15.125
621,13.875,-14.875
622,13.875,-14.625
623,13.875,-14.375
