FID,LAT,LON,MONTH,DAY
393,14.625,0.625,6,22
394,14.625,0.875,6,22
395,14.625,1.875,6,22
396,14.625,2.125,6,8
397,14.625,2.625,6,8
398,14.625,3.375,6,8
399,14.625,3.875,5,27
400,14.625,4.125,5,27
401,14.625,4.375,5,29
402,14.625,4.625,5,26
403,14.625,7.875,6,8
404,14.625,8.125,6,8
405,14.625,8.875,6,5
406,14.625,9.125,6,21
407,14.625,21.125,6,22
408,14.625,21.375,6,19
409,14.625,21.625,6,9
410,14.625,21.875,6,9
411,14.625,22.125,6,9
412,14.625,22.375,6,9
413,14.625,22.625,6,10
414,14.625,36.625,6,13
415,14.625,36.875,6,10
416,14.625,37.875,5,26
417,14.625,38.125,5,22
418,14.625,38.375,5,10
419,14.625,38.625,5,11
420,14.625,38.875,5,17
421,14.625,39.125,5,11
422,14.625,39.375,6,4
423,14.625,39.625,5,28
424,14.625,40.125,6,19
425,14.375,-16.875,6,23
426,14.375,-16.625,6,23
427,14.375,-16.375,6,21
428,14.375,-16.125,6,22
429,14.375,-15.875,6,21
430,14.375,-15.625,6,20
431,14.375,-15.375,6,19
432,14.375,-15.125,6,17
433,14.375,-14.875,6,17
434,14.375,-14.625,6,15
435,14.375,-14.375,6,14
436,14.375,-14.125,6,12
437,14.375,-13.875,6,10
438,14.375,-13.625,6,10
439,14.375,-12.875,6,7
440,14.375,-12.375,6,6
441,14.375,-12.125,6,7
442,14.375,-11.875,6,7
443,14.375,-11.625,6,7
444,14.375,-11.375,6,7
445,14.375,-11.125,6,6
446,14.375,-10.875,6,7
447,14.375,-10.625,6,7
448,14.375,-10.375,6,7
449,14.375,-10.125,6,8
450,14.375,-9.875,6,8
451,14.375,-9.625,6,8
452,14.375,-9.375,6,8
453,14.375,-9.125,6,8
454,14.375,-8.875,6,8
455,14.375,-8.625,6,8
456,14.375,-8.375,6,8
457,14.375,-8.125,6,8
458,14.375,-7.875,6,8
459,14.375,-7.625,6,8
460,14.375,-7.375,6,6
461,14.375,-7.125,6,6
462,14.375,-6.875,6,6
463,14.375,-6.625,6,3
464,14.375,-6.375,6,3
465,14.375,-6.125,6,4
466,14.375,-5.875,6,4
467,14.375,-5.625,6,3
468,14.375,-5.375,5,31
469,14.375,-5.125,5,31
470,14.375,-4.875,5,31
471,14.375,-4.625,5,31
472,14.375,-4.375,6,1
473,14.375,-4.125,6,1
474,14.375,-3.875,6,1
475,14.375,-3.625,6,1
476,14.375,-3.375,6,7
477,14.375,-3.125,6,7
478,14.375,-2.875,6,7
479,14.375,-2.625,6,7
480,14.375,-2.375,6,7
481,14.375,-1.875,5,29
482,14.375,-1.625,5,29
483,14.375,-1.375,5,29
484,14.375,-1.125,5,29
485,14.375,-0.875,5,29
486,14.375,-0.625,5,30
487,14.375,-0.375,5,30
488,14.375,-0.125,5,30
489,14.375,0.125,5,30
490,14.375,0.375,5,30
491,14.375,0.625,5,27
492,14.375,0.875,5,27
493,14.375,1.125,6,7
494,14.375,1.875,6,8
495,14.375,2.125,5,27
496,14.375,2.625,5,27
497,14.375,2.875,5,27
498,14.375,3.375,5,27
499,14.375,3.625,5,27
500,14.375,3.875,5,26
501,14.375,9.125,6,5
502,14.375,21.625,6,4
503,14.375,21.875,6,1
504,14.375,36.625,5,30
505,14.375,37.125,5,28
506,14.375,37.375,5,28
507,14.375,37.625,5,28
508,14.375,37.875,5,28
