ObjectID,locationid,addedbyus,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007
166,932,0,TANZANIA,TUMBI-TABORA,Eastern and Southern Africa,-5.07,32.73,1162,0,,,,,,,,,
167,951,0,UGANDA,BULEGENI,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
168,952,0,UGANDA,BULENGENI,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
169,957,0,UGANDA,LIKONDE,,,,,,,,,,,,,,
170,959,0,UGANDA,MSK,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
171,965,0,UGANDA,UGANDA,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
172,1021,0,ZAMBIA,CHISAMBA,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
173,1025,0,ZAMBIA,KATUBA,Eastern and Southern Africa,-15.17,28.23,1114,0,,,,,,,,,
174,1026,0,ZAMBIA,KUTUMANI,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
175,1027,0,ZAMBIA,LYEMPE,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
176,1028,0,ZAMBIA,MAGOBO,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
177,1030,0,ZAMBIA,MANSA,Eastern and Southern Africa,-11.12,28.53,1070,0,,,,,,,,,
178,1038,0,ZAMBIA,SESHEKE,Eastern and Southern Africa,-17.28,24.18,994,0,,,,,,,,,
179,1039,0,ZAMBIA,ZAMBIA,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
180,1046,0,ZIMBABWE,CIMMYT,,,,,,,,,,,,,,
181,1049,0,ZIMBABWE,GLENDALE,Eastern and Southern Africa,-17.08,31.03,1284,0,,,,,,,,,
182,1060,0,ZIMBABWE,PANNAR,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
183,1061,0,ZIMBABWE,PIONEER,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
184,1066,0,ZIMBABWE,RUWA,Eastern and Southern Africa,-17.89,31.24,1554,0,,,,,,,,,
185,1069,0,ZIMBABWE,ZIMBABWE,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
186,2101,1,GHANA,EJURA,Western Africa,7.383333,-1.366667,232,1,0,0,0,0,0,0,0,0,1
187,2102,1,GHANA,FUMESUA,Western Africa,6.75,-1.583333,270,1,0,0,0,0,0,0,0,0,1
188,2201,1,NIGERIA,ZARIA,Western Africa,11.066667,7.7,648,1,0,0,0,0,0,0,1,1,0
189,2202,1,NIGERIA,SAMARU,Western Africa,11.183333,7.616667,730,1,0,0,0,0,0,0,1,1,0
190,2301,1,SUDAN,WAD MEDANI,Eastern and Southern Africa,14.4,32.833333,402,1,0,0,0,0,0,0,0,1,0
