"","LocationID","Country","Location","Region","Latitude","Longitude","ElevM","bulk_density","carbon_organic","cation_exchange_capacity","clay_content","nitrogen_total","ph","sand_content","silt_content"
"95",892,"SWAZILAND","BIG-BEND","Eastern and Southern Africa",-26.82,31.93,115,1.31,10.0231763806416,15.444646771097,29,1997.19589510412,6.5,45,18
"97",895,"SWAZILAND","LUVE","Eastern and Southern Africa",-26.281,31.505,513,1.37,8.02501349943412,8.02501349943412,21,220.406416204187,5.9,59,14
"98",896,"SWAZILAND","MALKERNS","Eastern and Southern Africa",-26.553,31.165,747,1.32,8.97418245481472,5.04964746441295,28,491.749041093256,5.7,52,16
"99",897,"SWAZILAND","MANGCONGO","Eastern and Southern Africa",-26.57,30.85,1435,1.25,15.444646771097,5.04964746441295,32,2439.6019776245,5.5,46,15
"100",898,"SWAZILAND","NHLANGANO","Eastern and Southern Africa",-27.11,31.216,1065,1.34,12.4637380350017,7.16616991256765,33,1210.96707449258,5.6,43,14
"103",904,"TANZANIA","AFSF-ARUSHA","Eastern and Southern Africa",-3.3658,36.6745,1415,1.23,10.0231763806416,17.1741453694431,28,1807.04241445606,6.7,39,26
"104",905,"TANZANIA","ARUSHA","Eastern and Southern Africa",-3.18,36.7,1995,1.09,19.0855369231877,13.8797317248728,37,36314.5026742466,6.1,46,24
"106",907,"TANZANIA","ARUSHA TAN","Eastern and Southern Africa",-3.36,36.67,1415,1.23,12.4637380350017,15.444646771097,30,1997.19589510412,6.5,44,24
"107",908,"TANZANIA","CHOLIMA","Eastern and Southern Africa",-7.43,37.7,151,1.31,10.0231763806416,13.8797317248728,38,896.847291650418,6.5,39,21
"108",909,"TANZANIA","CHOLLIMA","Eastern and Southern Africa",-7.43,37.7,151,1.31,10.0231763806416,13.8797317248728,38,896.847291650418,6.5,39,21
"109",911,"TANZANIA","DAKAWA","Eastern and Southern Africa",-7.43,37.7,151,1.31,10.0231763806416,13.8797317248728,38,896.847291650418,6.5,39,21
"110",912,"TANZANIA","ILONGA","Eastern and Southern Africa",-6.77,37.03,554,1.3,12.4637380350017,15.444646771097,31,6001.91221726102,6.3,51,14
"111",913,"TANZANIA","INYALA","Eastern and Southern Africa",-8.867,33.633,1582,1.19,12.4637380350017,13.8797317248728,30,3639.95030733235,5.8,49,21
"112",914,"TANZANIA","KATRIN","Eastern and Southern Africa",-8.133,36.683,262,1.36,8.02501349943412,12.4637380350017,20,329.299559909649,6.5,50,28
"113",915,"TANZANIA","KATRIN1","Eastern and Southern Africa",-8.13,36.68,262,1.34,8.02501349943412,10.0231763806416,23,491.749041093256,6.1,48,27
"114",916,"TANZANIA","KATRIN2","Eastern and Southern Africa",-8.13,36.68,262,1.34,8.02501349943412,10.0231763806416,23,491.749041093256,6.1,48,27
"115",917,"TANZANIA","KATRIN-IFAKARA","Eastern and Southern Africa",-8.13,36.68,262,1.34,8.02501349943412,10.0231763806416,23,491.749041093256,6.1,48,27
"116",918,"TANZANIA","LAMBO","Eastern and Southern Africa",-3.23,37.88,935,1.37,6.38905609893065,15.444646771097,28,243.69193226422,7.2,52,17
"117",919,"TANZANIA","MARUKU","Eastern and Southern Africa",-1.338,32.786,1133,NA,NA,NA,NA,NA,NA,NA,NA
"118",920,"TANZANIA","MBULUMBULU","Eastern and Southern Africa",-3.25,35.8,1645,1.22,17.1741453694431,19.0855369231877,40,6633.24400627789,6.5,31,29
"119",921,"TANZANIA","MLINGANO","Eastern and Southern Africa",-5.07,38.92,100,1.28,8.02501349943412,12.4637380350017,27,4446.06674769986,5.7,56,15
"120",922,"TANZANIA","MONDULI","Eastern and Southern Africa",-3.3,36.45,1504,1.13,13.8797317248728,15.444646771097,30,4446.06674769986,6.4,50,21
"121",923,"TANZANIA","MOROGORO","Eastern and Southern Africa",-6.83,37.65,517,1.33,10.0231763806416,12.4637380350017,24,1479.29992758455,6,53,17
"122",925,"TANZANIA","NGARAMTONI","Eastern and Southern Africa",-3.36,36.67,1415,1.23,12.4637380350017,15.444646771097,30,1997.19589510412,6.5,44,24
"123",926,"TANZANIA","NGARAMTONI-ARUSHA","Eastern and Southern Africa",-3.36,36.67,1415,1.23,12.4637380350017,15.444646771097,30,1997.19589510412,6.5,44,24
"124",928,"TANZANIA","SELIAN","Eastern and Southern Africa",-3.22,36.37,1756,1.17,12.4637380350017,17.1741453694431,32,2979.95798704173,6.8,42,21
"125",929,"TANZANIA","TABORA","Eastern and Southern Africa",-5.02,32.8,1192,1.53,6.38905609893065,8.02501349943412,24,600.845037872082,5.9,63,15
"127",931,"TANZANIA","TUMBI","Eastern and Southern Africa",-5.07,32.73,1162,1.58,5.68589444227927,8.02501349943412,19,89.0171313005218,5.6,68,12
"128",932,"TANZANIA","TUMBI-TABORA","Eastern and Southern Africa",-5.07,32.73,1162,1.58,5.68589444227927,8.02501349943412,19,89.0171313005218,5.6,68,12
"129",933,"TANZANIA","UKIRIGURU","Eastern and Southern Africa",-2.719,33.024,1220,1.44,8.97418245481472,7.16616991256765,21,543.571910125929,6.2,61,20
"130",935,"TANZANIA","WERUWERU","Eastern and Southern Africa",-3.317,37.25,984,1.19,13.8797317248728,19.0855369231877,36,14763.7815655773,6.7,28,25
"133",953,"UGANDA","KAMAYANMIGGO","Eastern and Southern Africa",-0.25,31.25,1322,1.31,17.1741453694431,11.1824939607035,30,10937.0192081652,5.9,45,20
"134",954,"UGANDA","KAMENYAMIGGO","Eastern and Southern Africa",-0.25,31.25,1322,1.31,17.1741453694431,11.1824939607035,30,10937.0192081652,5.9,45,20
"135",957,"UGANDA","LIKONDESONGEA","Eastern and Southern Africa",-10.66,35.58,1026,1.37,8.97418245481472,12.4637380350017,30,444.857770082517,5.7,57,12
"137",960,"UGANDA","NAARI","Eastern and Southern Africa",0.5333,34.1167,1161,1.39,10.0231763806416,8.02501349943412,32,896.847291650418,5.8,46,21
"138",961,"UGANDA","NAMULONGE","Eastern and Southern Africa",0.53,32.58,1192,1.37,13.8797317248728,10.0231763806416,37,13358.7268296619,5.7,46,17
"139",962,"UGANDA","NAMULONGE UGA","Eastern and Southern Africa",0.53,32.58,1192,1.37,13.8797317248728,10.0231763806416,37,13358.7268296619,5.7,46,17
"140",963,"UGANDA","SERERE","Eastern and Southern Africa",1.517,33.45,1106,1.39,12.4637380350017,8.97418245481472,26,4022.87239382231,6,50,21
"142",1020,"ZAIRE","MVUAZI","Eastern and Southern Africa",-5.45,14.9,430,1.43,12.4637380350017,6.38905609893065,30,4022.87239382231,5,45,23
"144",1022,"ZAMBIA","GOLDEN VALLEY","Eastern and Southern Africa",-14.17,28.37,1173,1.45,8.97418245481472,8.97418245481472,27,297.86740096706,5.7,52,15
"145",1023,"ZAMBIA","KASAMA","Eastern and Southern Africa",-10.1,31.1,1352,1.4,8.02501349943412,5.68589444227927,21,163.021907299902,5.4,70,10
"146",1024,"ZAMBIA","KASAMA MISANFU","Eastern and Southern Africa",-10.2,31.1,1377,1.38,7.16616991256765,5.04964746441295,22,120.510417518735,5.6,68,12
"147",1025,"ZAMBIA","KATUBA","Eastern and Southern Africa",-15.17,28.23,1114,1.47,6.38905609893065,11.1824939607035,21,220.406416204187,6.1,62,17
"151",1029,"ZAMBIA","MAGOYE","Eastern and Southern Africa",-15.526,27.45,978,1.34,13.8797317248728,17.1741453694431,42,3293.46807528384,6.3,39,18
"152",1030,"ZAMBIA","MANSA","Eastern and Southern Africa",-11.12,28.53,1070,1.43,8.02501349943412,8.97418245481472,22,491.749041093256,5.6,64,12
"153",1031,"ZAMBIA","MASUMBA","Eastern and Southern Africa",-13.16,31.58,605,1.4,6.38905609893065,8.97418245481472,17,297.86740096706,6.1,67,12
"154",1032,"ZAMBIA","MISAMFU","Eastern and Southern Africa",-10.2,31.1,1377,1.38,7.16616991256765,5.04964746441295,22,120.510417518735,5.6,68,12
"155",1034,"ZAMBIA","MOUNT MAKULU","Eastern and Southern Africa",-15.5,28.3,1299,1.42,8.02501349943412,5.68589444227927,26,491.749041093256,6,58,17
"156",1036,"ZAMBIA","MSEKERA","Eastern and Southern Africa",-13.38,32.39,770,1.38,8.97418245481472,11.1824939607035,24,1634.98442999593,5.9,56,16
"157",1037,"ZAMBIA","NANGA","Eastern and Southern Africa",-15.767,27.92,978,1.63,10.0231763806416,19.0855369231877,38,1095.63315842846,6.5,34,16
"158",1038,"ZAMBIA","SESHEKE","Eastern and Southern Africa",-17.28,24.18,994,1.48,6.38905609893065,6.38905609893065,20,163.021907299902,6.2,74,12
"160",1040,"ZAMBIA","ZAMSEED","Eastern and Southern Africa",-14.2,28.4,1178,1.45,7.16616991256765,7.16616991256765,19,147.413159102577,5.7,65,13
"161",1041,"ZAMBIA","ZAMSEED FARM","Eastern and Southern Africa",-14.2,28.4,1178,1.45,7.16616991256765,7.16616991256765,19,147.413159102577,5.7,65,13
"162",1042,"ZIMBABWE","ARCTURUS","Eastern and Southern Africa",-17.783,31.317,1375,1.43,8.97418245481472,7.16616991256765,25,664.141633044362,5.9,56,14
"163",1043,"ZIMBABWE","AREX HARARE","Eastern and Southern Africa",-17.8,31.1,1513,1.39,11.1824939607035,8.97418245481472,37,243.69193226422,5.5,42,17
"164",1044,"ZIMBABWE","ART FARM HARARE","Eastern and Southern Africa",-17.8,31.05,1250,1.41,11.1824939607035,19.0855369231877,48,734.095189241973,5.6,30,13
"165",1045,"ZIMBABWE","CHIREDZI","Eastern and Southern Africa",-21.02,31.58,427,1.46,8.02501349943412,15.444646771097,24,402.428793492735,6.3,57,13
"167",1048,"ZIMBABWE","DRSS HARARE","Eastern and Southern Africa",-17.8,31.1,1513,1.39,11.1824939607035,8.97418245481472,37,243.69193226422,5.5,42,17
"168",1049,"ZIMBABWE","GLENDALE","Eastern and Southern Africa",-17.08,31.03,1284,1.46,6.38905609893065,6.38905609893065,20,180.272241875151,6.3,67,13
"169",1050,"ZIMBABWE","GWEBI","Eastern and Southern Africa",-17.7,30.85,1441,1.45,10.0231763806416,10.0231763806416,29,1095.63315842846,5.8,53,15
"170",1051,"ZIMBABWE","HARARE","Eastern and Southern Africa",-17.8,31.05,1498,1.41,11.1824939607035,19.0855369231877,48,734.095189241973,5.6,30,13
"171",1052,"ZIMBABWE","KADOMA","Eastern and Southern Africa",-18.32,30.9,1325,1.45,10.0231763806416,13.8797317248728,32,896.847291650418,6.5,49,16
"172",1054,"ZIMBABWE","MAKAHOLI","Eastern and Southern Africa",-19.83,30.78,1207,1.49,5.04964746441295,3.48168907033806,14,120.510417518735,5.8,71,10
"173",1055,"ZIMBABWE","MAKHOHOLI","Eastern and Southern Africa",-19.83,30.78,1207,1.49,5.04964746441295,3.48168907033806,14,120.510417518735,5.8,71,10
"174",1056,"ZIMBABWE","MARONDERA","Eastern and Southern Africa",-18.8,31.6,1084,1.52,5.68589444227927,5.68589444227927,17,133.289779684936,6.4,63,14
"175",1057,"ZIMBABWE","MATOPOS","Eastern and Southern Africa",-20.38,28.5,1380,1.54,8.97418245481472,13.8797317248728,26,811.405825167543,6.9,51,19
"176",1058,"ZIMBABWE","MAZOWE","Eastern and Southern Africa",-17.51,30.91,1370,1.35,10.0231763806416,10.0231763806416,29,734.095189241973,5.8,51,15
"179",1063,"ZIMBABWE","RATTRAY","Eastern and Southern Africa",-17.7,31.2,1403,1.44,12.4637380350017,8.02501349943412,30,364.037467865329,5.9,48,15
"180",1064,"ZIMBABWE","RATTRAY ARNOLD","Eastern and Southern Africa",-17.67,31.17,1458,1.46,8.02501349943412,7.16616991256765,22,329.299559909649,5.9,65,13
"181",1065,"ZIMBABWE","RATTRAY FARM","Eastern and Southern Africa",-17.7,31.2,1403,1.44,12.4637380350017,8.02501349943412,30,364.037467865329,5.9,48,15
"182",1066,"ZIMBABWE","RUWA","Eastern and Southern Africa",-17.89,31.24,1554,1.46,6.38905609893065,3.95303242439511,19,180.272241875151,5.9,68,16
"183",1067,"ZIMBABWE","SAVE VALLEY","Eastern and Southern Africa",-20.35,32.33,443,1.4,8.97418245481472,17.1741453694431,28,1807.04241445606,6.7,50,16
"184",1068,"ZIMBABWE","SHAMVA ZIM","Eastern and Southern Africa",-17.32,31.57,1106,1.32,11.1824939607035,11.1824939607035,24,1479.29992758455,6.1,60,13
"186",2101,"GHANA","EJURA","Western Africa",7.383333,-1.366667,232,1.42,5.68589444227927,5.04964746441295,9,220.406416204187,6.2,74,15
"187",2102,"GHANA","FUMESUA","Western Africa",6.75,-1.583333,270,1.38,8.97418245481472,11.1824939607035,23,1997.19589510412,5.2,60,14
"188",2201,"NIGERIA","ZARIA","Western Africa",11.066667,7.7,648,1.38,5.68589444227927,8.97418245481472,20,269.426407426153,6.2,59,23
"189",2202,"NIGERIA","SAMARU","Western Africa",11.183333,7.616667,730,1.36,5.68589444227927,7.16616991256765,20,72.6997936995958,5.4,55,30
"190",2301,"SUDAN","WAD MEDANI","Eastern and Southern Africa",14.4,32.833333,402,1.52,5.68589444227927,26.1126389206579,50,402.428793492735,7.7,28,22
"191",2501,"Kenya","Eldoret","Eastern and Southern Africa",0.569,35.308,2150,1.21,15.444646771097,17.1741453694431,42,10937.0192081652,5.8,33,26
"192",2502,"Kenya","Embu","Eastern and Southern Africa",-0.494,37.452,1500,1.21,17.1741453694431,11.1824939607035,41,66170.1601683766,5.7,35,24
"193",2503,"Kenya","Kandara","Eastern and Southern Africa",-0.465,37.719,1125,1.32,8.02501349943412,19.0855369231877,37,1479.29992758455,5.8,41,19
"194",2504,"Kenya","Kitale","Eastern and Southern Africa",1,34.992,1863,1.16,19.0855369231877,11.1824939607035,40,19929.3704382303,5.7,38,22
"195",2505,"Kenya","Machakos","Eastern and Southern Africa",-1.539,37.252,1585,1.33,8.02501349943412,13.8797317248728,25,329.299559909649,6.4,55,18
"196",2506,"Kenya","Migori","Eastern and Southern Africa",-0.993,34.513,1450,1.25,17.1741453694431,12.4637380350017,37,8954.29270348251,5.7,37,22
"197",2507,"Kenya","Njoro","Eastern and Southern Africa",-0.344,35.946,2170,1.13,21.1979512814416,15.444646771097,39,26902.1860742975,6.3,34,27
"198",2508,"Malawi","Bunda","Eastern and Southern Africa",-14.17,33.74,1150,1.4,10.0231763806416,8.97418245481472,17,543.571910125929,5.9,68,11
"199",2509,"Malawi","Central-On-farm","Eastern and Southern Africa",-13.683,34.267,615,1.46,8.97418245481472,13.8797317248728,26,1210.96707449258,6.1,59,12
"200",2510,"Malawi","Salima","Eastern and Southern Africa",-14.054,34.393,1240,1.21,13.8797317248728,12.4637380350017,28,7330.973539156,5.8,52,13
"201",2511,"Rwanda","Bugesera","Eastern and Southern Africa",-2.239,30.067,1369,1.32,13.8797317248728,8.02501349943412,37,2207.34799188721,5.5,46,17
