FID,Shape,LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4,BLD,CEC,CLYPPT,CRFVOL,DRAINFAO,EACKCL,NTO,ORCDRC,PHIHOX,SLTPPT,SNDPPT
87,"(13.7, -9.1)",16,ANGOLA,MAZOZO EXPERIMENTAL STATION,Eastern and Southern Africa,-9.1,13.7,41,lat-9.125_long13.625.txt, , , ,1353,23,30,3,4,0.601499975,0.787999988,10,67,18,52
88,"(33.633, -8.867)",913,TANZANIA,INYALA,Eastern and Southern Africa,-8.867,33.633,1582,lat-8.875_long33.625.txt, , , ,1088,25,30,0,5,0.339000016,0.99425,15,59,26,44
89,"(16.333, -9.533)",14,ANGOLA,MALANGE,Eastern and Southern Africa,-9.533,16.333,1149,lat-9.625_long16.375.txt, , , ,1310,9,24,3,5,0.457500011,0.707749963,13,60,16,60
90,"(16.32, -9.52)",17,ANGOLA,POLIGNO-FLORESTA,Eastern and Southern Africa,-9.52,16.32,1162,lat-9.625_long16.375.txt, , , ,1343,7,19,1,5,1.285000086,0.681999981,9,58,15,66
91,"(33.935, -9.71)",524,MALAWI,BAKA,Eastern and Southern Africa,-9.71,33.935,477,lat-9.875_long33.875.txt,lat-9.625_long33.875.txt,lat-9.875_long34.125.txt,lat-9.625_long34.125.txt,1218,17,31,1,2,1.332499981,1.42750001,20,58,19,51
92,"(31.1, -10.1)",1023,ZAMBIA,KASAMA,Eastern and Southern Africa,-10.1,31.1,1352,lat-10.125_long31.125.txt, , , ,1210,7,29,2,5,0.828750014,0.917999983,13,57,14,57
93,"(31.1, -10.2)",1024,ZAMBIA,KASAMA MISANFU,Eastern and Southern Africa,-10.2,31.1,1377,lat-10.125_long31.125.txt, , , ,1333,6,25,2,5,0.863999963,0.776499987,11,54,20,55
94,"(31.1, -10.2)",1032,ZAMBIA,MISAMFU,Eastern and Southern Africa,-10.2,31.1,1377,lat-10.125_long31.125.txt, , , ,1333,6,25,2,5,0.863999963,0.776499987,11,54,20,55
95,"(15.12, -11.42)",8,ANGOLA,CELA,Eastern and Southern Africa,-11.42,15.12,1305,lat-11.375_long15.125.txt, , , ,1403,9,24,0,4,1,0.813499987,13,58,13,62
96,"(33.75, -10.983)",527,MALAWI,BOLERO,Eastern and Southern Africa,-10.983,33.75,1099,lat-10.875_long33.625.txt,lat-10.875_long33.875.txt, , ,1383,10,25,0,5,0.005275,0.690999985,8,56,8,67
97,"(33.917, -11.45)",532,MALAWI,LUNYANGWA,Eastern and Southern Africa,-11.45,33.917,1290,lat-11.375_long33.875.txt, , , ,1375,7,20,0,5,0,0.731000006,8,61,9,71
98,"(35.58, -10.66)",957,UGANDA,LIKONDESONGEA,Eastern and Southern Africa,-10.66,35.58,1026,lat-10.625_long35.625.txt, , , ,1335,9,24,7,5,0,0.976999998,13,63,9,67
99,"(28.53, -11.12)",1030,ZAMBIA,MANSA,Eastern and Southern Africa,-11.12,28.53,1070,lat-11.125_long28.625.txt, , , ,1355,8,24,0,4,1.154999971,0.676999986,12,53,19,58
100,"(15.83, -12.73)",9,ANGOLA,CHIANGA,Eastern and Southern Africa,-12.73,15.83,1693,lat-12.625_long15.875.txt, , , ,1345,10,35,5,5,1.179250002,1.069999933,16,56,15,50
101,"(33.5, -12.1)",534,MALAWI,MBAWA,Eastern and Southern Africa,-12.1,33.5,1357,lat-12.125_long33.375.txt,lat-12.125_long33.625.txt, , ,1425,4,23,0,5,0.0056,0.51849997,7,59,8,69
102,"(34.07, -13.13)",530,MALAWI,CHITALA,Eastern and Southern Africa,-13.13,34.07,769,lat-13.125_long34.125.txt, , , ,1308,10,23,4,6,0.708500028,1.674999952,22,58,11,67
103,"(34.58, -13.75)",538,MALAWI,SALIMA,Eastern and Southern Africa,-13.75,34.58,503,lat-13.875_long34.625.txt,lat-13.625_long34.625.txt, , ,1493,15,15,0,5,0.062024999,0.512000024,6,64,8,77
104,"(35.23, -13.3)",728,MOZAMBIQUE,LICHINGA,Eastern and Southern Africa,-13.3,35.23,1289,lat-13.375_long35.125.txt, , , ,1275,8,28,1,5,0.256249994,1.13499999,11,58,15,57
105,"(38.87, -13.24)",729,MOZAMBIQUE,MAPUPULO,Eastern and Southern Africa,-13.24,38.87,513,lat-13.125_long38.875.txt, , , ,1433,10,18,0,5,0.165749997,0.893249989,9,60,9,73
106,"(31.58, -13.16)",1031,ZAMBIA,MASUMBA,Eastern and Southern Africa,-13.16,31.58,605,lat-13.125_long31.625.txt, , , ,1358,12,18,0,4,0.261249989,0.86224997,10,61,17,65
107,"(32.39, -13.38)",1036,ZAMBIA,MSEKERA,Eastern and Southern Africa,-13.38,32.39,770,lat-13.375_long32.375.txt, , , ,1318,11,24,0,4,0.832000017,1.010749936,13,57,14,62
108,"(34.43, -14.17)",526,MALAWI,BEMBEKE,Eastern and Southern Africa,-14.17,34.43,1054,lat-14.125_long34.375.txt, , , ,1268,9,25,4,6,0.143250003,1.777500033,22,60,15,60
109,"(34.93, -14.08)",529,MALAWI,BWANJE,Eastern and Southern Africa,-14.08,34.93,474,lat-14.125_long34.875.txt, , , ,1333,24,29,3,3,0.949000001,1.248333335,19,65,18,54
