cellid,y_pred_sim_dif_probT_cfrobust,irr_sim_probT_cfrobust,cr_sim_probT_cfrobust,crnrt_sim_probT_cfrobust,irr_sim_gtP_cfrobust,irrnrt_sim_gtP_cfrobust,y_pred_sim_dif_probT_naive,irr_sim_probT_naive,cr_sim_probT_naive,crnrt_sim_probT_naive,irr_sim_gtP_naive,irrnrt_sim_gtP_naive,lat,lon,class_nono_probT,classnrt_nono_probT,class_yesyes_probT,classnrt_yesyes_probT,class_type1_probT,classnrt_type1_probT,class_type2_probT,classnrt_type2_probT
"13250",".9504415393",".1360483766","5.222206116","nan",".6299999952","nan","2.802713633","2.349685192","10.00969124","15.39952564","1","1","-16.375","22.375","0","0","0","0","0","0","1","1"
"13251",".9805967808",".1566941589","5.38789463","nan",".6409999728","nan","2.802713633","2.309854507","10.00969124","15.39952564","1","1","-16.375","22.625","0","0","0","0","0","0","1","1"
"13252",".9772123098",".1400249302","5.369297981","nan",".6029999852","nan","2.802713633","2.268706083","10.00969124","15.39952564","1","1","-16.375","22.875","0","0","0","0","0","0","1","1"
"13253","1.005019188",".1574964374","5.522083282","nan",".6349999905","nan","2.802713633","2.226231098","10.00969124","15.39952564","1","1","-16.375","23.125","0","0","0","0","0","0","1","1"
"13254","1.007441521",".1407856494","5.535392761","nan",".6050000191","nan","2.802713633","2.182421923","10.00969124","15.39952564","1","1","-16.375","23.375","0","0","0","0","0","0","1","1"
"13255",".8034963012","-.0957471654","4.414814949","nan",".5299999714","nan","2.802713633","2.137273788","10.00969124","15.39952564","1","1","-16.375","23.625","0","0","0","0","0","0","1","1"
"13256",".8773475885","-.026462879","4.820590973","nan",".5199999809","nan","2.802713633","2.090783834","10.00969124","15.39952564","1","1","-16.375","23.875","0","0","0","0","0","0","1","1"
"13257",".8926243186","-.033584442","4.904529095","nan",".5500000119","nan","2.802713633","2.042953014","10.00969124","15.39952564","1","1","-16.375","24.125","0","0","0","0","0","0","1","1"
"13258",".8259429336","-.1179096401","4.538147926","nan",".4690000117","nan","2.802713633","1.993786812","10.00969124","15.39952564","1","1","-16.375","24.375","0","0","0","0","0","0","1","1"
"13259",".8415911794","-.1168099493","4.624127388","nan",".4990000129","nan","2.802713633","1.94329226","10.00969124","15.39952564","1","1","-16.375","24.625","0","0","0","0","0","0","1","1"
"1326",".6803383827",".6570128202","3.73812294","nan",".8270000219","nan","1.766548634","3.297660351","6.309102058","9.706311226","1","1","12.625","20.875","0","0","1","1","0","0","0","0"
"13260",".9076841474","-.0682499483","4.987275124","nan",".4650000036","nan","2.802713633","1.891597629","10.00969124","15.39952564","1","1","-16.375","24.875","0","0","0","0","0","0","1","1"
"13261",".893486619","-.0984167904","4.909266949","nan",".4850000143","nan","2.802713633","1.839284062","10.00969124","15.39952564","1","1","-16.375","25.125","0","0","0","0","0","0","1","1"
