cellid,y_pred_sim_dif_probT_naive,vcr_sim_probT_naive,cr_sim_probT_naive,vcr_sim_gtP_naive,y_pred_sim_dif_probT_robust,vcr_sim_probT_robust,cr_sim_probT_robust,vcr_sim_gtP_robust,lat,lon,class_nono_probT,class_yesyes_probT,class_type1_probT,class_type2_probT
"4775","4.484897614","10.36328506","34.49921417","1",".6472939253","1.492527246","4.979184151",".7616666555","7.375","37.875","0","1","0","0"
"4776","-.0054683685","-.0131424917","-.0420643725","0",".6390686035","1.537148714","4.915912628",".7879999876","7.375","38.125","0","0","1","0"
"4777","-.0054683685","-.0136521887","-.0420643725","0",".7007894516","1.750959873","5.390687943",".8339999914","7.375","38.375","0","0","1","0"
"4778","-.0054683685","-.014154817","-.0420643725","0",".6265013218","1.619427681","4.819241047",".7966666818","7.375","38.625","0","0","1","0"
"4779","-.0054683685","-.0146166412","-.0420643725","0",".668694973","1.785074592","5.143807411",".8059999943","7.375","38.875","0","0","1","0"
"4780","-.0054683685","-.0154873915","-.0420643725","0",".638379693","1.804311752","4.91061306",".8370000124","7.375","39.375","0","0","1","0"
"4781","-.0054683685","-.0161406454","-.0420643725","0",".8026875257","2.369437695","6.174519539",".8766666651","7.375","39.625","0","0","1","0"
"4782","-.0054683685","nan","-.0420643725","nan",".8472089767","nan","6.516992092","nan","7.375","39.875","0","0","0","0"
"4783","-.0054683685","nan","-.0420643725","nan",".9924410582","nan","7.634161949","nan","7.375","40.125","0","0","0","0"
"4784","-.0054683685","nan","-.0420643725","nan",".9100905657","nan","7.000696659","nan","7.375","40.375","0","0","0","0"
"4785","-.0054683685","nan","-.0420643725","nan","1.039462447","nan","7.995864868","nan","7.375","40.625","0","0","0","0"
"4786","-.0054683685","nan","-.0420643725","nan",".8562146425","nan","6.586266518","nan","7.375","40.875","0","0","0","0"
"4787",".7955236435","nan","6.119412422","nan","1.07069397","nan","8.236107826","nan","7.125","-11.875","0","0","0","0"
"4788",".7955236435","nan","6.119412422","nan",".7303159237","nan","5.617815018","nan","7.125","-11.625","0","0","0","0"
"4789",".7955236435","nan","6.119412422","nan",".6027328968","nan","4.636406898","nan","7.125","-11.375","0","0","0","0"
"479","1.500258923","nan","11.54045296","nan",".2550259829","nan","1.961738348","nan","14.375","-2.625","0","0","0","0"
"4793",".9677560329","nan","7.444277287","nan",".6800369024","nan","5.231053352","nan","7.125","-7.375","0","0","0","0"
"4794",".9677560329","nan","7.444277287","nan",".6911519766","nan","5.316553593","nan","7.125","-7.125","0","0","0","0"
"4795",".9677560329","nan","7.444277287","nan",".6602005959","nan","5.078466415","nan","7.125","-6.875","0","0","0","0"
