cellid,MostSensitive
2838,soilph
2839,soilph
2840,soilph
2841,soilph
2842,soilph
2843,soilph
2844,soilph
2845,soilph
2846,soilph
2847,soilph
2848,soilph
2849,soilph
2850,up
2851,up
2852,up
2853,soilph
2854,temp_p1
2855,temp_p2
2856,bulkdens
2857,temp_p2
2858,soilph
2859,soilph
2860,soilph
2861,soilph
2862,soilph
2863,soilph
2864,soilph
2865,soilph
2866,soilph
2867,soilph
2868,soilph
2869,soilph
2870,soilph
2871,soilph
2872,soilph
2873,soilph
2874,soilph
2875,soilph
2876,soilph
2877,soilph
2878,soilph
2879,soilph
2880,soilph
2881,soilph
2882,soilph
2883,soilph
2884,soilph
2885,bulkdens
2886,soilph
2887,up
2888,soilph
2889,soilph
2890,soilph
2891,soilph
2892,soilph
2893,soilph
2894,soilph
2895,soilph
2896,soilph
2897,soilph
2898,soilph
2899,soilph
2900,soilph
2901,soilph
2902,soilph
2903,soilph
2904,soilph
2905,soilph
2906,soilph
2907,soilph
2908,bulkdens
2909,bulkdens
2910,bulkdens
2911,soilph
2912,claypct
2913,claypct
2914,soilcec
2915,soilcec
2916,claypct
2917,claypct
2918,claypct
2919,claypct
2920,claypct
2921,claypct
2922,claypct
2923,soilcec
2924,soilph
2925,soilph
2926,soilph
2927,soilph
2928,soilcec
2929,up
2930,up
2931,up
2932,soilcec
2933,soilph
2934,soilph
2935,soilph
2936,temp_p2
2937,claypct
2938,claypct
2939,temp_p1
2940,up
2941,up
2942,up
2980,soilph
2981,soilph
2982,soilph
2983,soilph
2984,soilph
2985,soilph
2986,soilph
2987,soilph
2988,soilph
2989,soilph
2990,soilph
2991,soilph
2992,soilph
2993,soilph
2994,soilph
2995,soilph
2996,soilph
2997,soilph
2998,soilph
2999,soilph
3000,soilph
3001,soilph
3002,soilph
3003,soilph
3004,soilph
3005,soilph
3006,soilph
3007,soilph
3008,soilph
3009,soilph
3010,soilph
3011,soilph
3012,soilph
3013,soilph
3014,soilph
3015,soilph
3016,up
3017,temp_p1
3018,temp_p1
3019,temp_p1
3020,soilph
3021,bulkdens
3022,soilph
3023,soilph
3024,bulkdens
3025,soilph
3026,soilph
3027,soilph
